Datetime,open,close,high,low,volume,float,StockSymbol
16/11/2007,12.41954613,12.72620106,12.72620106,12.41954613,157050,92352576,FPT
19/11/2007,12.57287407,12.72620106,12.72620106,12.57287407,145600,92352576,FPT
20/11/2007,12.72620106,12.57287407,12.72620106,12.52176476,255770,92352576,FPT
21/11/2007,12.26621819,12.26621819,12.36843681,12.26621819,260450,92352576,FPT
22/11/2007,12.52176476,12.57287407,12.62398338,12.47065544,158550,92352576,FPT
23/11/2007,12.41954613,12.62398338,12.62398338,12.41954613,126520,92352576,FPT
26/11/2007,12.57287407,12.62398338,12.62398338,12.57287407,171730,92352576,FPT
27/11/2007,12.52176476,12.41954613,12.62398338,12.41954613,164250,92352576,FPT
28/11/2007,12.3173275,12.3173275,12.41954613,12.3173275,140410,92352576,FPT
29/11/2007,12.36843681,12.21510887,12.41954613,12.21510887,128960,92352576,FPT
30/11/2007,12.21510887,12.16399956,12.26621819,12.16399956,149250,92352576,FPT
03/12/2007,12.16399956,12.21510887,12.26621819,12.16399956,187600,92352576,FPT
04/12/2007,12.21510887,12.06178093,12.21510887,12.06178093,334400,92352576,FPT
05/12/2007,12.01067257,11.85734463,12.01067257,11.85734463,257280,92352576,FPT
06/12/2007,11.70401669,11.755126,11.755126,11.65290737,350710,92352576,FPT
07/12/2007,11.755126,11.85734463,12.01067257,11.755126,203800,92352576,FPT
10/12/2007,11.755126,11.65290737,11.85734463,11.65290737,301700,92352576,FPT
11/12/2007,11.49957943,11.55068874,11.55068874,11.44847012,327840,92352576,FPT
12/12/2007,11.3973608,11.60179806,11.755126,11.3973608,329220,92352576,FPT
13/12/2007,11.49957943,11.44847012,11.55068874,11.44847012,291570,92352576,FPT
14/12/2007,11.29514313,11.34625149,11.49957943,11.29514313,204820,92352576,FPT
17/12/2007,11.3973608,11.29514313,11.3973608,11.29514313,203240,92352576,FPT
18/12/2007,11.65290737,11.44847012,11.65290737,11.34625149,264940,92352576,FPT
19/12/2007,11.44847012,11.755126,11.755126,11.44847012,353490,92352576,FPT
20/12/2007,11.755126,11.49957943,11.755126,11.49957943,236310,92352576,FPT
21/12/2007,11.49957943,11.49957943,11.55068874,11.44847012,168200,92352576,FPT
24/12/2007,11.49957943,11.3973608,11.49957943,11.3973608,123130,92352576,FPT
25/12/2007,11.3973608,11.34625149,11.3973608,11.34625149,121320,92352576,FPT
26/12/2007,11.3973608,11.3973608,11.44847012,11.34625149,211500,92352576,FPT
27/12/2007,11.3973608,11.34625149,11.3973608,11.34625149,227980,92352576,FPT
28/12/2007,11.34625149,11.3973608,11.3973608,11.34625149,172550,92352576,FPT
02/01/2008,11.29514313,11.1929245,11.34625149,11.1929245,113410,92334976,FPT
03/01/2008,11.03959656,10.98848724,11.09070587,10.98848724,211160,92334976,FPT
04/01/2008,10.8351593,10.8351593,10.88626862,10.78404999,180890,92334976,FPT
07/01/2008,10.73294067,10.52850437,10.73294067,10.47739506,232200,92334976,FPT
08/01/2008,10.68183136,10.630723,10.68183136,10.630723,214660,92334976,FPT
09/01/2008,10.47739506,10.32406712,10.47739506,10.32406712,159580,92334976,FPT
10/01/2008,10.01741123,9.81297493,10.06852055,9.81297493,401090,92334976,FPT
11/01/2008,9.966301918,10.06852055,10.11962986,9.966301918,188290,92334976,FPT
14/01/2008,10.06852055,9.864084244,10.06852055,9.864084244,239760,92334976,FPT
15/01/2008,9.710756302,9.659646988,9.761865616,9.659646988,337320,92334976,FPT
16/01/2008,10.06852055,10.11962986,10.11962986,9.966301918,331740,92334976,FPT
17/01/2008,10.57961369,10.17073917,10.57961369,10.01741123,387040,92334976,FPT
18/01/2008,9.966301918,10.32406712,10.47739506,9.966301918,152330,92334976,FPT
21/01/2008,9.81297493,9.81297493,9.915193558,9.81297493,501440,92334976,FPT
22/01/2008,9.352991104,9.352991104,9.352991104,9.352991104,202800,92334976,FPT
23/01/2008,8.893008232,8.893008232,8.893008232,8.893008232,92540,92334976,FPT
24/01/2008,9.30188179,8.688570976,9.30188179,8.688570976,430040,92334976,FPT
25/01/2008,8.688570976,9.097445488,9.097445488,8.688570976,292790,92334976,FPT
28/01/2008,9.046336174,9.30188179,9.30188179,9.046336174,190060,92334976,FPT
29/01/2008,9.30188179,9.761865616,9.761865616,9.30188179,213390,92334976,FPT
30/01/2008,10.22184849,10.22184849,10.22184849,10.06852055,352990,92334976,FPT
31/01/2008,9.761865616,10.06852055,10.06852055,9.761865616,225620,92334976,FPT
01/02/2008,10.06852055,10.11962986,10.11962986,10.01741123,204640,92334976,FPT
12/02/2008,10.11962986,9.864084244,10.11962986,9.81297493,76750,92334976,FPT
13/02/2008,9.55742836,9.404100418,9.659646988,9.404100418,206500,92334976,FPT
14/02/2008,9.404100418,9.455209732,9.608537674,9.404100418,173150,92334976,FPT
15/02/2008,9.506319046,9.404100418,9.506319046,9.25077343,90890,92334976,FPT
18/02/2008,9.097445488,8.99522686,9.097445488,8.944117546,262900,92334976,FPT
19/02/2008,8.73968029,8.944117546,8.944117546,8.688570976,242480,92334976,FPT
20/02/2008,8.535243988,8.535243988,8.73968029,8.535243988,312060,92334976,FPT
21/02/2008,8.126369476,8.126369476,8.126369476,8.126369476,187680,92334976,FPT
22/02/2008,7.768604755,7.768604755,7.768604755,7.768604755,287230,92334976,FPT
25/02/2008,7.921932697,8.126369476,8.126369476,7.921932697,301820,92334976,FPT
26/02/2008,8.075260162,7.768604755,8.126369476,7.768604755,304670,92334976,FPT
27/02/2008,7.717495918,7.717495918,7.973042011,7.717495918,156900,92334976,FPT
28/02/2008,7.819714069,7.564167976,7.819714069,7.513058662,123600,92334976,FPT
29/02/2008,7.308621883,7.206403255,7.564167976,7.206403255,216820,92334976,FPT
03/03/2008,6.848638535,6.848638535,6.848638535,6.848638535,190060,92334976,FPT
04/03/2008,6.541983128,6.541983128,6.541983128,6.541983128,134790,92334976,FPT
05/03/2008,6.235327721,6.235327721,6.235327721,6.235327721,260000,92334976,FPT
06/03/2008,6.541983128,6.541983128,6.541983128,6.541983128,150750,92334976,FPT
07/03/2008,6.848638535,6.848638535,6.848638535,6.848638535,66860,92334976,FPT
10/03/2008,7.155293941,7.155293941,7.155293941,7.155293941,749480,92334976,FPT
11/03/2008,6.848638535,6.848638535,7.053075314,6.797529221,438330,92334976,FPT
12/03/2008,6.848638535,7.001966476,7.155293941,6.848638535,326740,92334976,FPT
13/03/2008,7.001966476,7.001966476,7.104184628,6.950857162,97870,92334976,FPT
14/03/2008,6.950857162,7.001966476,7.001966476,6.899747849,229600,92334976,FPT
17/03/2008,6.695310593,6.695310593,6.797529221,6.695310593,118510,92334976,FPT
18/03/2008,6.388655186,6.388655186,6.388655186,6.388655186,53240,92334976,FPT
19/03/2008,6.081999779,6.081999779,6.388655186,6.081999779,414330,92334976,FPT
20/03/2008,5.826453686,5.826453686,6.081999779,5.826453686,297440,92334976,FPT
